Date,Close
5/11/2018,24.57
5/14/2018,24.73
5/15/2018,24.75
5/16/2018,24.94
5/17/2018,25.3
5/18/2018,24.89
5/21/2018,24.77
5/22/2018,24.7
5/23/2018,24.57
5/24/2018,24.56
5/25/2018,24.61
5/29/2018,24.5
5/30/2018,24.98
5/31/2018,24.33
6/1/2018,24.42
6/4/2018,24.75
6/5/2018,24.91
6/6/2018,24.68
6/7/2018,24.98
6/8/2018,25.36
6/11/2018,25.54
6/12/2018,25.69
6/13/2018,26.01
6/14/2018,26.16
6/15/2018,25.88
6/18/2018,26.01
6/19/2018,25.99
6/20/2018,26.18
6/21/2018,28.73
6/22/2018,29.69
6/25/2018,29.33
6/26/2018,29
6/27/2018,29.01
6/28/2018,28.43
6/29/2018,28.45
7/2/2018,28.22
7/3/2018,28.7
7/5/2018,28.6
7/6/2018,29.12
7/9/2018,28.75
7/10/2018,28.77
7/11/2018,27.97
7/12/2018,27.95
7/13/2018,28.05
7/16/2018,27.99
7/17/2018,28.42
7/18/2018,28.14
7/19/2018,28.12
7/20/2018,28.14
7/23/2018,28.29
7/24/2018,27.96
7/25/2018,28.28
7/26/2018,28.64
7/27/2018,28.7
7/30/2018,29.72
7/31/2018,29
8/1/2018,28.69
8/2/2018,29.74
8/3/2018,29.93
8/6/2018,29.91
8/7/2018,30
8/8/2018,30.61
8/9/2018,29.82
8/10/2018,30.14
8/13/2018,29.89
8/14/2018,30.45
8/15/2018,30.06
8/16/2018,30.53
8/17/2018,31.35
8/20/2018,31.4
8/21/2018,31.36
8/22/2018,31.74
8/23/2018,32.31
8/24/2018,31.2
8/27/2018,31.19
8/28/2018,31.11
8/29/2018,30.68
8/30/2018,31.04
8/31/2018,31.5
9/4/2018,31.9
9/5/2018,31.96
9/6/2018,32.56
9/7/2018,32.37
9/10/2018,31.75
9/11/2018,31.39
9/12/2018,31.73
9/13/2018,28.58
9/14/2018,27.8
9/17/2018,28.84
9/18/2018,29.29
9/19/2018,28.88
9/20/2018,29.18
9/21/2018,29.95
9/24/2018,29.61
9/25/2018,29.26
9/26/2018,29.39
9/27/2018,29
9/28/2018,29.11
10/1/2018,28.75
10/2/2018,29.08
10/3/2018,29.38
10/4/2018,28.78
10/5/2018,29.07
10/8/2018,29.35
10/9/2018,27.92
10/10/2018,27.73
10/11/2018,26.74
10/12/2018,26.92
10/15/2018,27.5
10/16/2018,27.2
10/17/2018,27.29
10/18/2018,27.36
10/19/2018,27.56
10/22/2018,27.98
10/23/2018,28.43
10/24/2018,27.95
10/25/2018,28
10/26/2018,27.58
10/29/2018,28.23
10/30/2018,30.09
10/31/2018,29.76
11/1/2018,29.33
11/2/2018,30.17
11/5/2018,30.61
11/6/2018,30.83
11/7/2018,31.32
11/8/2018,31.35
11/9/2018,31.39
11/12/2018,31.37
11/13/2018,31.38
11/14/2018,30.29
11/15/2018,30.03
11/16/2018,30.24
11/19/2018,30.56
11/20/2018,29.59
11/21/2018,29.53
11/23/2018,29.69
11/26/2018,29.57
11/27/2018,30.04
11/28/2018,30.25
11/29/2018,30.36
11/30/2018,29.66
12/3/2018,29.76
12/4/2018,28.64
12/6/2018,29.56
12/7/2018,29.17
12/10/2018,28.79
12/11/2018,29.24
12/12/2018,29.75
12/13/2018,29.76
12/14/2018,29.55
12/17/2018,28.92
12/18/2018,28.55
12/19/2018,28.23
12/20/2018,27.68
12/21/2018,27.4
12/24/2018,26.6
12/26/2018,27.73
12/27/2018,27.38
12/28/2018,27.58
12/31/2018,27.5
1/2/2019,27.3
1/3/2019,27.35
1/4/2019,27.66
1/7/2019,27.92
1/8/2019,28.46
1/9/2019,28.05
1/10/2019,28.48
1/11/2019,28.43
1/14/2019,28.3
1/15/2019,28.62
1/16/2019,28.7
1/17/2019,28.93
1/18/2019,29.43
1/22/2019,29.32
1/23/2019,29.24
1/24/2019,28.71
1/25/2019,28.12
1/28/2019,28.22
1/29/2019,28.08
1/30/2019,28.26
1/31/2019,28.33
2/1/2019,28.07
2/4/2019,28.12
2/5/2019,28.3
2/6/2019,28.29
2/7/2019,28.18
2/8/2019,27.83
2/11/2019,27.55
2/12/2019,28.58
2/13/2019,28.96
2/14/2019,28.96
2/15/2019,29.5
2/19/2019,29.55
2/20/2019,28.75
2/21/2019,28.58
2/22/2019,28.52
2/25/2019,28.85
2/26/2019,28.92
2/27/2019,29.8
2/28/2019,29.33
3/1/2019,28.02
3/4/2019,28.64
3/5/2019,28.92
3/6/2019,28.44
3/7/2019,25.61
3/8/2019,24.47
3/11/2019,24.67
3/12/2019,24.48
3/13/2019,24.73
3/14/2019,24.75
3/15/2019,24.36
3/18/2019,24.55
3/19/2019,24.33
3/20/2019,23.99
3/21/2019,24.32
3/22/2019,24.34
3/25/2019,24.15
3/26/2019,24.47
3/27/2019,24.27
3/28/2019,24.44
3/29/2019,24.6
4/1/2019,24.48
4/2/2019,23.76
4/3/2019,23.8
4/4/2019,23.68
4/5/2019,23.9
4/8/2019,23.86
4/9/2019,23.94
4/10/2019,24.98
4/11/2019,25.74
4/12/2019,25.67
4/15/2019,25.47
4/16/2019,25.57
4/17/2019,25.54
4/18/2019,25.78
4/22/2019,25.5
4/23/2019,25.22
4/24/2019,25.57
4/25/2019,25.77
4/26/2019,25
4/29/2019,25.57
4/30/2019,25.78
5/1/2019,25.58
5/2/2019,25.78
5/3/2019,25.74
5/6/2019,25.71
5/7/2019,25.77
5/8/2019,25.28
