Date,Close
5/11/2018,83.38
5/14/2018,84.39
5/15/2018,84.52
5/16/2018,86.13
5/17/2018,84.49
5/18/2018,83.64
5/21/2018,84.51
5/22/2018,83.37
5/23/2018,83.01
5/24/2018,82.85
5/25/2018,82.46
5/29/2018,82.4
5/30/2018,84.12
5/31/2018,82.54
6/1/2018,82.99
6/4/2018,85.42
6/5/2018,84.62
6/6/2018,84.56
6/7/2018,84.95
6/8/2018,84.36
6/11/2018,84.3
6/12/2018,84.1
6/13/2018,84.09
6/14/2018,83.79
6/15/2018,83.7
6/18/2018,83
6/19/2018,83.61
6/20/2018,83.61
6/21/2018,84.21
6/22/2018,84.82
6/25/2018,86.47
6/26/2018,85.98
6/27/2018,86.89
6/28/2018,85.86
6/29/2018,85.65
7/2/2018,84
7/3/2018,84.44
7/5/2018,84.57
7/6/2018,84.51
7/9/2018,85.93
7/10/2018,87.21
7/11/2018,86.53
7/12/2018,86.52
7/13/2018,87.7
7/16/2018,87.64
7/17/2018,88.19
7/18/2018,88.07
7/19/2018,87.72
7/20/2018,88.06
7/23/2018,87.63
7/24/2018,87.96
7/25/2018,87.9
7/26/2018,88.23
7/27/2018,88.13
7/30/2018,88.88
7/31/2018,89.23
8/1/2018,88.24
8/2/2018,88.76
8/3/2018,89.6
8/6/2018,89.67
8/7/2018,89.77
8/8/2018,90.05
8/9/2018,89.01
8/10/2018,90.18
8/13/2018,89.64
8/14/2018,90.85
8/15/2018,90.22
8/16/2018,98.64
8/17/2018,97.85
8/20/2018,96
8/21/2018,96.08
8/22/2018,95.67
8/23/2018,95.18
8/24/2018,94.95
8/27/2018,94.54
8/28/2018,96.07
8/29/2018,95.64
8/30/2018,96.1
8/31/2018,95.86
9/4/2018,95.36
9/5/2018,96.62
9/6/2018,96.45
9/7/2018,95.83
9/10/2018,96.9
9/11/2018,96.64
9/12/2018,95.97
9/13/2018,95.12
9/14/2018,94.59
9/17/2018,94.82
9/18/2018,95.43
9/19/2018,95.24
9/20/2018,95.75
9/21/2018,95.9
9/24/2018,94.92
9/25/2018,95.1
9/26/2018,94.59
9/27/2018,94.13
9/28/2018,93.91
10/1/2018,94.4
10/2/2018,95.15
10/3/2018,94.07
10/4/2018,94.21
10/5/2018,93.31
10/8/2018,94.69
10/9/2018,97.08
10/10/2018,95.76
10/11/2018,93.92
10/12/2018,94.81
10/15/2018,93.82
10/16/2018,95.81
10/17/2018,96.56
10/18/2018,96.17
10/19/2018,97.15
10/22/2018,97.14
10/23/2018,97.8
10/24/2018,97.56
10/25/2018,99.18
10/26/2018,98.94
10/29/2018,99.8
10/30/2018,102.42
10/31/2018,100.28
11/1/2018,100.58
11/2/2018,101.34
11/5/2018,102.91
11/6/2018,103.33
11/7/2018,104.32
11/8/2018,104.88
11/9/2018,105.56
11/12/2018,103.87
11/13/2018,102.94
11/14/2018,101.53
11/15/2018,99.54
11/16/2018,97.69
11/19/2018,96.78
11/20/2018,94.16
11/21/2018,94.17
11/23/2018,95.1
11/26/2018,95.15
11/27/2018,95.04
11/28/2018,97.46
11/29/2018,97.29
11/30/2018,97.65
12/3/2018,98.75
12/4/2018,95.81
12/6/2018,94.77
12/7/2018,93.19
12/10/2018,93.94
12/11/2018,93.85
12/12/2018,93.11
12/13/2018,92.96
12/14/2018,91.85
12/17/2018,90.77
12/18/2018,91.08
12/19/2018,90.55
12/20/2018,87.28
12/21/2018,87.13
12/24/2018,85.82
12/26/2018,90.41
12/27/2018,91.59
12/28/2018,92.13
12/31/2018,93.15
1/2/2019,93.34
1/3/2019,92.86
1/4/2019,93.44
1/7/2019,94.54
1/8/2019,95.2
1/9/2019,94.89
1/10/2019,94.96
1/11/2019,94.84
1/14/2019,94.95
1/15/2019,96.25
1/16/2019,96.35
1/17/2019,96.74
1/18/2019,97.73
1/22/2019,97.49
1/23/2019,98.71
1/24/2019,98.36
1/25/2019,96.94
1/28/2019,97.06
1/29/2019,96.71
1/30/2019,94.8
1/31/2019,95.83
2/1/2019,93.86
2/4/2019,94.77
2/5/2019,95.6
2/6/2019,95.64
2/7/2019,96.73
2/8/2019,95.58
2/11/2019,96.2
2/12/2019,96.97
2/13/2019,97.94
2/14/2019,98.52
2/15/2019,99.99
2/19/2019,102.2
2/20/2019,99.88
2/21/2019,99.39
2/22/2019,99.55
2/25/2019,99.12
2/26/2019,98.69
2/27/2019,98.11
2/28/2019,98.99
3/1/2019,97.93
3/4/2019,97.85
3/5/2019,98.34
3/6/2019,98.26
3/7/2019,97.45
3/8/2019,97.59
3/11/2019,98.48
3/12/2019,98.37
3/13/2019,99.03
3/14/2019,98.22
3/15/2019,98.42
3/18/2019,99.66
3/19/2019,99.85
3/20/2019,98.64
3/21/2019,99.06
3/22/2019,98.28
3/25/2019,98.17
3/26/2019,98.32
3/27/2019,97.21
3/28/2019,97.13
3/29/2019,97.53
4/1/2019,97.82
4/2/2019,96.94
4/3/2019,97.19
4/4/2019,98.11
4/5/2019,98.83
4/8/2019,99.23
4/9/2019,98.69
4/10/2019,99.6
4/11/2019,100.8
4/12/2019,101.56
4/15/2019,102.43
4/16/2019,102.93
4/17/2019,103.16
4/18/2019,103.18
4/22/2019,102.37
4/23/2019,103.07
4/24/2019,103.53
4/25/2019,103.52
4/26/2019,101.53
4/29/2019,101.56
4/30/2019,102.84
5/1/2019,101.36
5/2/2019,101.15
5/3/2019,102.08
5/6/2019,102.46
5/7/2019,101.3
5/8/2019,100.3
